Change Component Designator: OldDesignator=C? NewDesignator=C1
Change Component Designator: OldDesignator=C? NewDesignator=C2
Change Component Designator: OldDesignator=C? NewDesignator=C3
Change Component Designator: OldDesignator=C? NewDesignator=C4
Change Component Designator: OldDesignator=C? NewDesignator=C5
Change Component Designator: OldDesignator=C? NewDesignator=C6
Change Component Designator: OldDesignator=C? NewDesignator=C7
Change Component Designator: OldDesignator=C? NewDesignator=C8
Change Component Designator: OldDesignator=J? NewDesignator=J1
Change Component Designator: OldDesignator=J? NewDesignator=J2
Change Component Designator: OldDesignator=J? NewDesignator=J3
Change Component Designator: OldDesignator=J? NewDesignator=J4
Change Component Designator: OldDesignator=J? NewDesignator=J5
Change Component Designator: OldDesignator=JP? NewDesignator=JP1
Change Component Designator: OldDesignator=JP? NewDesignator=JP2
Change Component Designator: OldDesignator=JP? NewDesignator=JP3
Change Component Designator: OldDesignator=JP? NewDesignator=JP4
Change Component Designator: OldDesignator=R? NewDesignator=R1
Change Component Designator: OldDesignator=R? NewDesignator=R2
Change Component Designator: OldDesignator=R? NewDesignator=R3
Change Component Designator: OldDesignator=R? NewDesignator=R4
Change Component Designator: OldDesignator=R? NewDesignator=R5
Change Component Designator: OldDesignator=R? NewDesignator=R6
Change Component Designator: OldDesignator=R? NewDesignator=R7
Change Component Designator: OldDesignator=R? NewDesignator=R8
Change Component Designator: OldDesignator=R? NewDesignator=R9
Change Component Designator: OldDesignator=R? NewDesignator=R10
Change Component Designator: OldDesignator=R? NewDesignator=R11
Change Component Designator: OldDesignator=R? NewDesignator=R12
Change Component Designator: OldDesignator=R? NewDesignator=R13
Change Component Designator: OldDesignator=R? NewDesignator=R14
Change Component Designator: OldDesignator=R? NewDesignator=R15
Change Component Designator: OldDesignator=R? NewDesignator=R16
Change Component Designator: OldDesignator=U? NewDesignator=U1
Added Pin To Net: NetName=GND Pin=J1-A2
Added Pin To Net: NetName=GND Pin=J1-A5
Added Pin To Net: NetName=GND Pin=J1-A8
Added Pin To Net: NetName=GND Pin=J1-A11
Added Pin To Net: NetName=GND Pin=J1-A14
Added Pin To Net: NetName=GND Pin=J1-A17
Added Pin To Net: NetName=GND Pin=J1-A20
Added Pin To Net: NetName=GND Pin=J1-B2
Added Pin To Net: NetName=GND Pin=J1-B5
Added Pin To Net: NetName=GND Pin=J1-B8
Added Pin To Net: NetName=GND Pin=J1-B11
Added Pin To Net: NetName=GND Pin=J1-B14
Added Pin To Net: NetName=GND Pin=J1-B17
Added Pin To Net: NetName=GND Pin=J1-B20
Added Pin To Net: NetName=GND Pin=J2-A4
Added Pin To Net: NetName=GND Pin=J2-A12
Added Pin To Net: NetName=GND Pin=J2-A15
Added Pin To Net: NetName=GND Pin=J2-A18
Added Pin To Net: NetName=GND Pin=J2-A20
Added Pin To Net: NetName=GND Pin=J2-A23
Added Pin To Net: NetName=GND Pin=J2-A24
Added Pin To Net: NetName=GND Pin=J2-A27
Added Pin To Net: NetName=GND Pin=J2-A28
Added Pin To Net: NetName=GND Pin=J2-A31
Added Pin To Net: NetName=GND Pin=J2-A34
Added Pin To Net: NetName=GND Pin=J2-A37
Added Pin To Net: NetName=GND Pin=J2-A38
Added Pin To Net: NetName=GND Pin=J2-A41
Added Pin To Net: NetName=GND Pin=J2-A42
Added Pin To Net: NetName=GND Pin=J2-A45
Added Pin To Net: NetName=GND Pin=J2-A46
Added Pin To Net: NetName=GND Pin=J2-A49
Added Pin To Net: NetName=GND Pin=J2-A51
Added Pin To Net: NetName=GND Pin=J2-A54
Added Pin To Net: NetName=GND Pin=J2-A55
Added Pin To Net: NetName=GND Pin=J2-A58
Added Pin To Net: NetName=GND Pin=J2-A59
